date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:26	174/174	---M--	200	added ('OK')	application/zip	etag:%229c5c8f3409e86dd25b39647896ffcdf1%22	http://projects-legacy.ez.no/src/feed_parser.zip	projects-legacy.ez.no/src/feed_parser.zip	(from http://projects-legacy.ez.no/)
12:13:29	17889/17889	---M--	200	added ('OK')	application/zip	etag:%225c7ed6e2fce4d9cec47cbad8cf4c9752%22	http://projects-legacy.ez.no/svn/feide.zip	projects-legacy.ez.no/svn/feide.zip	(from http://projects-legacy.ez.no/)
12:13:30	162/162	---M--	200	added ('OK')	application/zip	etag:%22a550dcd9d834cb3a62b77972f9a55f54%22	http://projects-legacy.ez.no/src/feide.zip	projects-legacy.ez.no/src/feide.zip	(from http://projects-legacy.ez.no/)
12:13:32	19173/19173	---M--	200	added ('OK')	application/zip	etag:%2235d0e5b6382147bdc88675a2dea02bba%22	http://projects-legacy.ez.no/svn/fetch_multilingual_url_alias_by_locale.zip	projects-legacy.ez.no/svn/fetch_multilingual_url_alias_by_locale.zip	(from http://projects-legacy.ez.no/)
12:13:33	228/228	---M--	200	added ('OK')	application/zip	etag:%224b955f6f7a84092c91b2386279ff52a9%22	http://projects-legacy.ez.no/src/fetch_multilingual_url_alias_by_locale.zip	projects-legacy.ez.no/src/fetch_multilingual_url_alias_by_locale.zip	(from http://projects-legacy.ez.no/)
12:13:41	111067/111067	---M--	200	added ('OK')	application/zip	etag:%226e628e5741a204d4262dacd440304ed5%22	http://projects-legacy.ez.no/svn/fezmetadata.zip	projects-legacy.ez.no/svn/fezmetadata.zip	(from http://projects-legacy.ez.no/)
12:13:48	93840/93840	---M--	200	added ('OK')	application/zip	etag:%22b0c2b9d5f75820fe1079ac918c0e6b91%22	http://projects-legacy.ez.no/src/fezmetadata.zip	projects-legacy.ez.no/src/fezmetadata.zip	(from http://projects-legacy.ez.no/)
12:13:52	33047/33047	---M--	200	added ('OK')	application/zip	etag:%22b0af0e9505201d7b83b89b1aca33f59d%22	http://projects-legacy.ez.no/svn/fezviewcache.zip	projects-legacy.ez.no/svn/fezviewcache.zip	(from http://projects-legacy.ez.no/)
12:13:55	13209/13209	---M--	200	added ('OK')	application/zip	etag:%222ad7bf6d2dd6866f24e41a009c6f353f%22	http://projects-legacy.ez.no/src/fezviewcache.zip	projects-legacy.ez.no/src/fezviewcache.zip	(from http://projects-legacy.ez.no/)
12:13:58	22556/22556	---M--	200	added ('OK')	application/zip	etag:%22c0b42698a6a896c019bd4711472598c2%22	http://projects-legacy.ez.no/svn/fireez.zip	projects-legacy.ez.no/svn/fireez.zip	(from http://projects-legacy.ez.no/)
12:14:01	4032/4032	---M--	200	added ('OK')	application/zip	etag:%224167170d30bddd6e44913ec6eb250f93%22	http://projects-legacy.ez.no/src/fireez.zip	projects-legacy.ez.no/src/fireez.zip	(from http://projects-legacy.ez.no/)
12:14:03	18381/18381	---M--	200	added ('OK')	application/zip	etag:%2226071653b8a1164654f7e7ede2a48330%22	http://projects-legacy.ez.no/svn/firefox_ez_debug_extension.zip	projects-legacy.ez.no/svn/firefox_ez_debug_extension.zip	(from http://projects-legacy.ez.no/)
